project,command,files,lines,status,runs,medianWallMs,minWallMs,maxWallMs,medianResolveMs,medianEmitMs,medianTotalMs,medianPeakRssBytes,linesPerSecond
src/NSharpLang.Compiler.BootstrapServices,build,403,172653,failed,5,7868,7668,8079,,,,180584448,21943.7
src/NSharpLang.Compiler.BootstrapServices,check,403,172653,failed,5,26997,26517,27319,,,,716587008,6395.3
examples/01-hello-world,build,1,20,measured,5,296,292,310,0,200,200,97959936,67.6
examples/01-hello-world,check,1,20,measured,5,296,293,298,,,,101695488,67.6
examples/11-advanced-features/CheckedUnchecked,build,1,90,measured,5,288,286,294,0,200,200,100089856,312.5
examples/11-advanced-features/CheckedUnchecked,check,1,90,measured,5,295,293,304,,,,105398272,305.1
examples/11-advanced-features/ConversionOperators,build,1,149,measured,5,317,315,335,0,200,200,103235584,470.0
examples/11-advanced-features/ConversionOperators,check,1,149,measured,5,324,322,324,,,,106004480,459.9
examples/11-advanced-features/FileScopedSimple,build,1,56,measured,5,322,321,324,0,300,300,100089856,173.9
examples/11-advanced-features/FileScopedSimple,check,1,56,measured,5,326,325,328,,,,104103936,171.8
examples/11-advanced-features/FileScopedTypes,build,1,119,measured,5,367,365,388,0,300,300,105725952,324.3
examples/11-advanced-features/FileScopedTypes,check,1,119,measured,5,382,380,385,,,,117063680,311.5
examples/11-advanced-features/InterpolatedRawStrings,build,1,72,measured,5,293,292,296,0,200,200,98385920,245.7
examples/11-advanced-features/InterpolatedRawStrings,check,1,72,measured,5,296,295,318,,,,102318080,243.2
examples/11-advanced-features/LockStatement,build,1,126,measured,5,378,377,379,0,300,300,107151360,333.3
examples/11-advanced-features/LockStatement,check,1,126,measured,5,393,391,401,,,,112410624,320.6
examples/11-advanced-features/OperatorOverloading,build,1,65,measured,5,303,300,327,0,200,200,102268928,214.5
examples/11-advanced-features/OperatorOverloading,check,1,65,measured,5,308,307,308,,,,105447424,211.0
examples/11-advanced-features/PreprocessorDirectives,build,1,43,measured,5,300,299,301,0,200,200,98304000,143.3
examples/11-advanced-features/PreprocessorDirectives,check,1,43,measured,5,304,301,320,,,,101892096,141.4
examples/12-multi-file-projects/AutoDiscovery,build,3,73,measured,5,366,365,369,0,300,300,105136128,199.5
examples/12-multi-file-projects/AutoDiscovery,check,3,73,measured,5,373,371,375,,,,114442240,195.7
examples/12-multi-file-projects/MultiFileProject,build,3,77,measured,5,371,369,386,0,300,300,105119744,207.5
examples/12-multi-file-projects/MultiFileProject,check,3,77,measured,5,380,378,395,,,,111165440,202.6
examples/12-multi-file-projects/SimpleProject,build,1,5,measured,5,236,235,237,0,200,200,95125504,21.2
examples/12-multi-file-projects/SimpleProject,check,1,5,measured,5,239,237,240,,,,98353152,20.9
examples/12-multi-file-projects/TestExample,build,1,23,measured,5,278,274,294,0,200,200,100302848,82.7
examples/12-multi-file-projects/TestExample,check,1,23,measured,5,295,294,326,,,,107315200,78.0
examples/12-multi-file-projects/WeatherDemo,build,3,132,measured,5,499,495,522,0,400,400,140689408,264.5
examples/12-multi-file-projects/WeatherDemo,check,3,132,measured,5,523,523,526,,,,146964480,252.4
examples/12-multi-file-projects/imports,build,2,30,measured,5,303,301,307,0,200,200,98107392,99.0
examples/12-multi-file-projects/imports,check,2,30,measured,5,307,304,307,,,,101826560,97.7
examples/14-minimal-api,build,1,33,measured,5,634,630,642,0,600,600,202883072,52.1
examples/14-minimal-api,check,1,33,measured,5,681,681,705,,,,229785600,48.5
examples/16-task-cli,build,11,978,measured,5,836,834,864,0,800,800,150224896,1169.9
examples/16-task-cli,check,11,978,measured,5,965,963,967,,,,160956416,1013.5
examples/17-issue-tracker/backend,build,7,523,measured,5,1380,1376,1398,0,1300,1300,238026752,379.0
examples/17-issue-tracker/backend,check,7,523,measured,5,1535,1530,1585,,,,274497536,340.7
templates/nsharp-console,build,1,3,measured,5,235,233,236,0,200,200,95174656,12.8
templates/nsharp-console,check,1,3,measured,5,245,239,248,,,,98516992,12.2
templates/nsharp-library,build,1,9,measured,5,222,219,224,0,200,200,90308608,40.5
templates/nsharp-library,check,1,9,measured,5,235,233,238,,,,96305152,38.3
templates/nsharp-systems-cli,build,1,33,failed,5,198,196,218,,,,70320128,166.7
templates/nsharp-systems-cli,check,1,33,failed,5,209,209,213,,,,73302016,157.9
templates/nsharp-systems-lib,build,1,25,failed,5,197,195,197,,,,70123520,126.9
templates/nsharp-systems-lib,check,1,25,failed,5,207,207,211,,,,73154560,120.8
templates/nsharp-test,build,1,9,measured,5,219,219,221,0,100,200,90308608,41.1
templates/nsharp-test,check,1,9,measured,5,237,235,240,,,,96305152,38.0
templates/nsharp-webapi,build,2,46,measured,5,653,651,675,0,600,600,207749120,70.4
templates/nsharp-webapi,check,2,46,measured,5,704,701,717,,,,231931904,65.3
tests/fixtures/external-base-interface,build,1,40,measured,5,236,234,238,0,200,200,97681408,169.5
tests/fixtures/external-base-interface,check,1,40,measured,5,255,253,261,,,,102268928,156.9
tests/fixtures/external-static-package,build,1,26,measured,5,327,324,355,0,200,300,113934336,79.5
tests/fixtures/external-static-package,check,1,26,measured,5,331,327,332,,,,121978880,78.5
tests/fixtures/external-static-relative-dll,build,1,12,measured,5,289,288,304,0,200,200,100089856,41.5
tests/fixtures/external-static-relative-dll,check,1,12,measured,5,296,293,297,,,,105791488,40.5
tests/fixtures/issue-tracker,build,7,448,measured,5,1432,1426,1461,0,1400,1400,236093440,312.8
tests/fixtures/issue-tracker,check,7,448,measured,5,1571,1561,1593,,,,277348352,285.2
tests/native/analyzer-binding-map,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-binding-map,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-clean-source,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-clean-source,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-error-handling,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-error-handling,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-event-subscription,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-event-subscription,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-identifier-binding,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-identifier-binding,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-semantic-model,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-semantic-model,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/as-boxing,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/as-boxing,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/async-task-like,build,1,57,measured,5,326,325,352,0,300,300,104054784,174.8
tests/native/async-task-like,check,1,57,measured,5,353,352,357,,,,110395392,161.5
tests/native/boolean-code-plan,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/boolean-code-plan,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/char-classification,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/char-classification,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/cli-command-contracts,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/cli-command-contracts,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/columnar-emit-facts,build,1,11,measured,5,206,204,206,0,100,100,89817088,53.4
tests/native/columnar-emit-facts,check,1,11,measured,5,221,218,222,,,,95551488,49.8
tests/native/completion-engine,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/completion-engine,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/conditional,build,1,87,measured,5,304,300,318,0,200,200,99221504,286.2
tests/native/conditional,check,1,87,measured,5,320,319,322,,,,105480192,271.9
tests/native/construction-arrays,build,3,498,measured,5,583,581,583,0,500,500,123863040,854.2
tests/native/construction-arrays,check,3,498,measured,5,644,642,658,,,,130826240,773.3
tests/native/direct-calls,build,1,353,measured,5,433,431,437,0,400,400,115638272,815.2
tests/native/direct-calls,check,1,353,measured,5,468,466,492,,,,118439936,754.3
tests/native/doc-query,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/doc-query,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/erased-enum-identity,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/erased-enum-identity,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/extension-calls,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/extension-calls,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/external-base-interface,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/external-base-interface,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/generic-scope-invalid,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/generic-scope-invalid,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/interface-parameter-modifiers,build,1,47,measured,5,299,298,300,0,200,200,97517568,157.2
tests/native/interface-parameter-modifiers,check,1,47,measured,5,315,314,316,,,,104431616,149.2
tests/native/iterators,build,1,259,measured,5,387,385,415,0,300,300,107446272,669.3
tests/native/iterators,check,1,259,measured,5,419,418,422,,,,116064256,618.1
tests/native/lambda-placement,build,1,67,measured,5,381,380,392,0,300,300,107364352,175.9
tests/native/lambda-placement,check,1,67,measured,5,413,412,434,,,,121405440,162.2
tests/native/ownership-audit,build,2,1406,measured,5,868,865,869,0,800,800,139886592,1619.8
tests/native/ownership-audit,check,2,1406,measured,5,1058,1046,1089,,,,159203328,1328.9
tests/native/parser-literal-facts,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/parser-literal-facts,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/playground-diagnostic-spans,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/playground-diagnostic-spans,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/playground-tooling-surfaces,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/playground-tooling-surfaces,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/primitive-binary,build,1,375,measured,5,381,378,384,0,300,300,109281280,984.3
tests/native/primitive-binary,check,1,375,measured,5,410,407,429,,,,121389056,914.6
tests/native/query-completions,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/query-completions,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/query-integration,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/query-integration,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/range-index,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/range-index,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/readonly-dictionary-widening,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/readonly-dictionary-widening,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/readonly-init,build,1,113,measured,5,280,277,283,0,200,200,100483072,403.6
tests/native/readonly-init,check,1,113,measured,5,295,294,296,,,,105234432,383.1
tests/native/record-with,build,1,58,measured,5,329,328,334,0,300,300,102760448,176.3
tests/native/record-with,check,1,58,measured,5,359,358,380,,,,117161984,161.6
tests/native/reflection-emit-bootstrap,build,2,453,measured,5,547,545,548,0,500,500,121815040,828.2
tests/native/reflection-emit-bootstrap,check,2,453,measured,5,639,632,662,,,,133988352,708.9
tests/native/scalar-code-plan,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/scalar-code-plan,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/systems-analysis-census,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/systems-analysis-census,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/systems-gauntlet-facts,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/systems-gauntlet-facts,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/systems-proof-corpus,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/systems-proof-corpus,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
