project,command,files,lines,status,runs,medianWallMs,minWallMs,maxWallMs,medianResolveMs,medianEmitMs,medianTotalMs,medianPeakRssBytes,linesPerSecond
examples/01-hello-world,build,1,20,measured,5,271,269,294,0,200,200,78102528,73.8
examples/01-hello-world,check,1,20,measured,5,275,273,276,,,,81362944,72.7
examples/11-advanced-features/CheckedUnchecked,build,1,90,measured,5,269,266,284,0,200,200,79691776,334.6
examples/11-advanced-features/CheckedUnchecked,check,1,90,measured,5,273,271,274,,,,84099072,329.7
examples/11-advanced-features/ConversionOperators,build,1,149,measured,5,294,286,299,0,200,200,79347712,506.8
examples/11-advanced-features/ConversionOperators,check,1,149,measured,5,294,293,309,,,,82788352,506.8
examples/11-advanced-features/FileScopedSimple,build,1,56,measured,5,289,288,309,0,200,200,78446592,193.8
examples/11-advanced-features/FileScopedSimple,check,1,56,measured,5,294,292,297,,,,81379328,190.5
examples/11-advanced-features/FileScopedTypes,build,1,119,measured,5,340,337,344,0,300,300,83312640,350.0
examples/11-advanced-features/FileScopedTypes,check,1,119,measured,5,350,348,365,,,,89931776,340.0
examples/11-advanced-features/InterpolatedRawStrings,build,1,72,measured,5,265,263,266,0,200,200,77430784,271.7
examples/11-advanced-features/InterpolatedRawStrings,check,1,72,measured,5,269,266,269,,,,80510976,267.7
examples/11-advanced-features/LockStatement,build,1,126,measured,5,346,344,350,0,300,300,88801280,364.2
examples/11-advanced-features/LockStatement,check,1,126,measured,5,355,353,376,,,,94011392,354.9
examples/11-advanced-features/OperatorOverloading,build,1,65,measured,5,271,270,274,0,200,200,78512128,239.9
examples/11-advanced-features/OperatorOverloading,check,1,65,measured,5,274,273,275,,,,81723392,237.2
examples/11-advanced-features/PreprocessorDirectives,build,1,43,measured,5,273,272,274,0,200,200,77676544,157.5
examples/11-advanced-features/PreprocessorDirectives,check,1,43,measured,5,278,276,299,,,,80576512,154.7
examples/12-multi-file-projects/AutoDiscovery,build,3,73,measured,5,335,334,336,0,300,300,89227264,217.9
examples/12-multi-file-projects/AutoDiscovery,check,3,73,measured,5,350,348,352,,,,93356032,208.6
examples/12-multi-file-projects/MultiFileProject,build,3,77,measured,5,342,338,343,0,300,300,90357760,225.1
examples/12-multi-file-projects/MultiFileProject,check,3,77,measured,5,363,362,384,,,,95944704,212.1
examples/12-multi-file-projects/SimpleProject,build,1,5,measured,5,216,216,219,0,100,100,75759616,23.1
examples/12-multi-file-projects/SimpleProject,check,1,5,measured,5,220,220,224,,,,78594048,22.7
examples/12-multi-file-projects/TestExample,build,1,23,measured,5,245,244,247,0,200,200,75857920,93.9
examples/12-multi-file-projects/TestExample,check,1,23,measured,5,263,261,276,,,,83050496,87.5
examples/12-multi-file-projects/WeatherDemo,build,3,132,measured,5,658,657,663,0,600,600,134807552,200.6
examples/12-multi-file-projects/WeatherDemo,check,3,132,measured,5,698,687,756,,,,143458304,189.1
examples/12-multi-file-projects/imports,build,2,30,measured,5,280,279,283,0,200,200,77938688,107.1
examples/12-multi-file-projects/imports,check,2,30,measured,5,285,284,286,,,,80855040,105.3
examples/14-minimal-api,build,1,33,measured,5,597,595,601,0,500,500,207978496,55.3
examples/14-minimal-api,check,1,33,measured,5,655,648,662,,,,235962368,50.4
examples/16-task-cli,build,11,978,measured,5,994,985,1015,0,900,900,141541376,983.9
examples/16-task-cli,check,11,978,measured,5,1294,1255,1319,,,,159858688,755.8
examples/17-issue-tracker/backend,build,7,523,measured,5,1609,1595,1630,0,1500,1500,224083968,325.0
examples/17-issue-tracker/backend,check,7,523,measured,5,1861,1773,1922,,,,265535488,281.0
templates/nsharp-console,build,1,3,measured,5,213,212,215,0,100,100,75661312,14.1
templates/nsharp-console,check,1,3,measured,5,218,217,222,,,,78577664,13.8
templates/nsharp-library,build,1,9,measured,5,222,221,244,0,100,100,73711616,40.5
templates/nsharp-library,check,1,9,measured,5,237,237,242,,,,79151104,38.0
templates/nsharp-systems-cli,build,1,33,measured,5,310,309,338,0,200,200,82886656,106.5
templates/nsharp-systems-cli,check,1,33,measured,5,321,319,322,,,,89899008,102.8
templates/nsharp-systems-lib,build,1,25,failed,5,241,240,241,,,,81018880,103.7
templates/nsharp-systems-lib,check,1,25,failed,5,252,250,273,,,,82886656,99.2
templates/nsharp-test,build,1,9,measured,5,223,220,225,0,100,100,73613312,40.4
templates/nsharp-test,check,1,9,measured,5,238,237,241,,,,79167488,37.8
templates/nsharp-webapi,build,2,46,measured,5,756,754,776,0,700,700,209649664,60.8
templates/nsharp-webapi,check,2,46,measured,5,836,820,846,,,,239812608,55.0
tests/fixtures/external-base-interface,build,1,40,measured,5,231,229,243,0,200,200,75579392,173.2
tests/fixtures/external-base-interface,check,1,40,measured,5,247,245,252,,,,82608128,161.9
tests/fixtures/external-static-package,build,1,26,failed,5,230,228,230,,,,88014848,113.0
tests/fixtures/external-static-package,check,1,26,failed,5,239,237,240,,,,90013696,108.8
tests/fixtures/external-static-relative-dll,build,1,12,measured,5,274,272,291,0,200,200,80363520,43.8
tests/fixtures/external-static-relative-dll,check,1,12,measured,5,279,277,280,,,,85344256,43.0
tests/fixtures/issue-tracker,build,7,448,measured,5,1354,1350,1398,0,1300,1300,227803136,330.9
tests/fixtures/issue-tracker,check,7,448,measured,5,1723,1685,1792,,,,271646720,260.0
tests/native/analyzer-binding-map,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-binding-map,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-clean-source,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-clean-source,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-error-handling,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-error-handling,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-event-subscription,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-event-subscription,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-identifier-binding,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-identifier-binding,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-semantic-model,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/analyzer-semantic-model,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/as-boxing,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/as-boxing,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/async-task-like,build,1,57,measured,5,309,309,322,0,200,200,83836928,184.5
tests/native/async-task-like,check,1,57,measured,5,331,330,331,,,,91668480,172.2
tests/native/boolean-code-plan,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/boolean-code-plan,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/char-classification,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/char-classification,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/cli-command-contracts,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/cli-command-contracts,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/columnar-emit-facts,build,1,11,measured,5,211,209,220,0,100,100,73318400,52.1
tests/native/columnar-emit-facts,check,1,11,measured,5,226,225,227,,,,78725120,48.7
tests/native/completion-engine,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/completion-engine,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/conditional,build,1,87,measured,5,282,280,313,0,200,200,76152832,308.5
tests/native/conditional,check,1,87,measured,5,297,295,300,,,,82231296,292.9
tests/native/construction-arrays,build,3,498,failed,5,288,286,291,,,,93650944,1729.2
tests/native/construction-arrays,check,3,498,failed,5,299,298,304,,,,95731712,1665.6
tests/native/direct-calls,build,1,353,failed,5,351,347,370,,,,91275264,1005.7
tests/native/direct-calls,check,1,353,failed,5,379,379,380,,,,100007936,931.4
tests/native/doc-query,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/doc-query,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/erased-enum-identity,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/erased-enum-identity,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/extension-calls,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/extension-calls,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/external-base-interface,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/external-base-interface,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/generic-scope-invalid,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/generic-scope-invalid,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/interface-parameter-modifiers,build,1,47,measured,5,271,269,273,0,200,200,75792384,173.4
tests/native/interface-parameter-modifiers,check,1,47,measured,5,288,285,296,,,,81805312,163.2
tests/native/iterators,build,1,259,measured,5,356,348,377,0,300,300,91111424,727.5
tests/native/iterators,check,1,259,measured,5,382,381,388,,,,102924288,678.0
tests/native/lambda-placement,build,1,67,measured,5,557,555,560,0,500,500,129957888,120.3
tests/native/lambda-placement,check,1,67,measured,5,592,591,618,,,,141950976,113.2
tests/native/ownership-audit,build,2,1406,measured,5,806,802,811,0,700,700,107315200,1744.4
tests/native/ownership-audit,check,2,1406,measured,5,1077,1040,1342,,,,123994112,1305.5
tests/native/parser-literal-facts,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/parser-literal-facts,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/playground-diagnostic-spans,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/playground-diagnostic-spans,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/playground-tooling-surfaces,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/playground-tooling-surfaces,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/primitive-binary,build,1,375,measured,5,342,340,346,0,300,300,84459520,1096.5
tests/native/primitive-binary,check,1,375,measured,5,368,367,370,,,,96534528,1019.0
tests/native/query-completions,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/query-completions,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/query-integration,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/query-integration,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/range-index,build,0,0,no non-test sources,0,-1,-1,-1,,,,,
tests/native/range-index,check,0,0,no non-test sources,0,-1,-1,-1,,,,,
